2020-09-21 23:56:37 INFO  Utilities:159 - Step Description--> <b>PaymentReqeust Body : </b>{"CorporateId":"AQMF001","TimeStamp":"1560859427549","UserId":"7485136194","Token":"2420246456","Transaction":[{"TransactionDetails":{"BeneficiaryAccountNo":"409000015845","BeneficiaryIFSC":"ICIC0000555","MandateType":"R","PurposeCode":"P1301","PurposeDescription":"Family M","TransactionDate":"21/09/2020","TransactionReferenceNo":"11928404890446","TransferAmount":"200010"},"RemitterDetailsJobj":{"RemitterAddress1":"Goregaon","RemitterCity":"MumbaiCity","RemitterState":"MHCity","RemitterCountry":"AO","RemitterEmailId":"SBINHAMMADI@GMAIL.COM","RemitterId":"AQMF001","RemitterMobileNo":"27367222","RemitterName":"Dasi","RemitterZipCode":"629192890"},"BeneficiaryDetailsJobj":{"BeneficiaryAccountHolderName":"Dasi","BeneficiaryAddress1":"Airoli","BeneficiaryAddress2":"AD","BeneficiaryAddress3":"IN","BeneficiaryEmailId":"abcdef@sign.com","BeneficiaryMobileNo":"2736728","BeneficiaryZipNo":"2313333"}}]}<br><br>
2020-09-21 23:56:39 INFO  Utilities:159 - Step Description--> <b>PaymentReqeust Response :</b>{"ErrorDesc":"Technical Failure","ErrorCode":"ERR1000"}<br><br>
2020-09-21 23:56:39 INFO  Utilities:159 - Step Description--> <b>PaymentReqeust Body : </b>{"CorporateId":"AQMF001","TimeStamp":"1560859427549","UserId":"7485136194","Token":"2420246456","Transaction":[{"TransactionDetails":{"BeneficiaryAccountNo":"409000015845","BeneficiaryIFSC":"ICIC0000555","MandateType":"N","PurposeCode":"P1301","PurposeDescription":"Family M","TransactionDate":"21/09/2020","TransactionReferenceNo":"11928404890447","TransferAmount":"2300"},"RemitterDetailsJobj":{"RemitterAddress1":"Goregaon","RemitterCity":"MumbaiCity","RemitterState":"MHCity","RemitterCountry":"AO","RemitterEmailId":"SBINHAMMADI@GMAIL.COM","RemitterId":"AQMF001","RemitterMobileNo":"27367222","RemitterName":"Dasi","RemitterZipCode":"629192890"},"BeneficiaryDetailsJobj":{"BeneficiaryAccountHolderName":"Dasi","BeneficiaryAddress1":"Airoli","BeneficiaryAddress2":"AD","BeneficiaryAddress3":"IN","BeneficiaryEmailId":"abcdef@sign.com","BeneficiaryMobileNo":"2736728","BeneficiaryZipNo":"2313333"}}]}<br><br>
2020-09-21 23:56:39 INFO  Utilities:159 - Step Description--> <b>PaymentReqeust Response :</b>{"ErrorDesc":"Technical Failure","ErrorCode":"ERR1000"}<br><br>
2020-09-21 23:56:39 INFO  Utilities:159 - Step Description--> <b>PaymentReqeust Body : </b>{"CorporateId":"AQMF001","TimeStamp":"1560859427549","UserId":"7485136194","Token":"2420246456","Transaction":[{"TransactionDetails":{"BeneficiaryAccountNo":"409000015845","BeneficiaryIFSC":"RATN0000001","MandateType":"D","PurposeCode":"P1301","PurposeDescription":"Family M","TransactionDate":"21/09/2020","TransactionReferenceNo":"11928404890448","TransferAmount":"2300"},"RemitterDetailsJobj":{"RemitterAddress1":"Goregaon","RemitterCity":"MumbaiCity","RemitterState":"MHCity","RemitterCountry":"AO","RemitterEmailId":"SBINHAMMADI@GMAIL.COM","RemitterId":"AQMF001","RemitterMobileNo":"27367222","RemitterName":"Dasi","RemitterZipCode":"629192890"},"BeneficiaryDetailsJobj":{"BeneficiaryAccountHolderName":"Dasi","BeneficiaryAddress1":"Airoli","BeneficiaryAddress2":"AD","BeneficiaryAddress3":"IN","BeneficiaryEmailId":"abcdef@sign.com","BeneficiaryMobileNo":"2736728","BeneficiaryZipNo":"2313333"}}]}<br><br>
2020-09-21 23:56:39 INFO  Utilities:159 - Step Description--> <b>PaymentReqeust Response :</b>{"ErrorDesc":"Technical Failure","ErrorCode":"ERR1000"}<br><br>
2020-09-21 23:56:39 INFO  Utilities:159 - Step Description--> <b>PaymentReqeust Body : </b>{"CorporateId":"AQMF001","TimeStamp":"1560859427549","UserId":"7485136194","Token":"2420246456","Transaction":[{"TransactionDetails":{"BeneficiaryAccountNo":"112101505172011","BeneficiaryIFSC":"SIMB0002233","MandateType":"I","PurposeCode":"P1301","PurposeDescription":"Family M","TransactionDate":"21/09/2020","TransactionReferenceNo":"11928404890449","TransferAmount":"2300"},"RemitterDetailsJobj":{"RemitterAddress1":"Goregaon","RemitterCity":"MumbaiCity","RemitterState":"MHCity","RemitterCountry":"AO","RemitterEmailId":"SBINHAMMADI@GMAIL.COM","RemitterId":"AQMF001","RemitterMobileNo":"27367222","RemitterName":"Dasi","RemitterZipCode":"629192890"},"BeneficiaryDetailsJobj":{"BeneficiaryAccountHolderName":"Dasi","BeneficiaryAddress1":"Airoli","BeneficiaryAddress2":"AD","BeneficiaryAddress3":"IN","BeneficiaryEmailId":"abcdef@sign.com","BeneficiaryMobileNo":"2736728","BeneficiaryZipNo":"2313333"}}]}<br><br>
2020-09-21 23:56:39 INFO  Utilities:159 - Step Description--> <b>PaymentReqeust Response :</b>{"ErrorDesc":"Technical Failure","ErrorCode":"ERR1000"}<br><br>
2020-09-21 23:56:40 INFO  Utilities:159 - Step Description--> Verify following tags || Expected Result : Technical Failure || Actual Result : Technical Failure
2020-09-21 23:56:40 INFO  Utilities:159 - Step Description--> Verify following tags || Expected Result : Technical Failure || Actual Result : Technical Failure
2020-09-21 23:56:40 INFO  Utilities:159 - Step Description--> Verify following tags || Expected Result : Technical Failure || Actual Result : Technical Failure
2020-09-21 23:56:40 INFO  Utilities:159 - Step Description--> Verify following tags || Expected Result : Technical Failure || Actual Result : Technical Failure
